項目名,項目ID,属性,属性チェック,桁数,空白を削除する,暦書式,暦エラータイプ,レコード出力タイプ,最終出力タイプ,最終出力値,全角,大文字,項目出力
WK_TRANSACT_NO,11 ○取引番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_TRANSACT_DTIL_NO,12 ○取引明細番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_TRANSACT_ASSOCIATE_NO,13 取引付属番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_TRANSACT_ASSOCIATE_DTIL_NO,14 取引付属明細番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CUST_SO_NO,15 ○客注番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_RECEIVE_RECORD_TYPE,16 受信レコード区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_RECEIVE_DATA_CATEGORY_CODE,17 受信データ種別コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SO_DATE,18 ○受注日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,日付と時刻を出力する,yyyy/MM/dd,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PO_DATE,19 発注日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SUPPLY_DATE,20 ○納入日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SP_PRICE_STT_DATE,21 特値単価開始日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SP_PRICE_END_DATE,22 特値単価終了日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SHA_CODE,23 社コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CLASS_CODE,24 ○分類コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SLIP_TYPE,25 ○伝票区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_DELI_TYPE1,26 便配達区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SHA_NAME,27 社名,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_STORE_NAME,28 店名,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_HOME_DELI_TYPE,29 ○宅配企業向け区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,固定値を出力する,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SUPPLY_NAME1,30 ○納入先名称1,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SUPPLY_NAME2,31 ○納入先名称2,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SUPPLY_KANA_NAME,32 納入先名称カナ,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SUPPLY_PHONE,33 ○納入先電話番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SUPPLY_ZIP,34 ○納入先郵便番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SUPPLY_ADDRESS1,35 ○納入先住所1,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SUPPLY_ADDRESS2,36 ○納入先住所2,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_AL_COMP_NAME,37 アルインコ社名,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_AL_COMP_KANA_NAME,38 アルインコ社名カナ,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_AL_PHONE,39 アルインコ電話番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_AL_ADDRESS1,40 アルインコ住所1,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_AL_ADDRESS2,41 アルインコ住所2,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_DELI_TYPE2,42 納品区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_DELI_ROUTE,43 納品経路,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_LARGE_CLASS_CODE,44 商品分類（大）,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_MEDIUM_CLASS_CODE,45 商品分類（中）,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_SMALL_CLASS_CODE,46 商品分類（小）,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_FINE_CLASS_CODE,47 商品分類（細）,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_TYPE,48 商品区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PO_TYPE,49 発注区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SHIP_DATA_CONSIST_TYPE,50 出荷データ有無区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_TRANSACT_NO_TYPE,51 取引番号区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PB_TYPE,52 PB区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_ACT_CATEGORY_CODE,53 処理種別,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_NO_SLIP_TYPE,54 伝票レス区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PACK_TYPE,55 パック区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_INDETERMINATE_TYPE,56 不定貫区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CTAX_TYPE,57 税区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CTAX_RATE,58 税率,9: 0～9までの数字,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,固定値を出力する,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_FREE_USE_COLUMN,59 自由使用欄,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_FREE_USE_COLUMN_KANA,60 自由使用欄半角カナ,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CUST_DELI_SLIP_TYPE,61 ○得意先指定納品書種類,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_RESERVE_ITEM1,62 ○予備項目1,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_RESERVE_ITEM2,63 ○予備項目2,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_RESERVE_ITEM3,64 ○予備項目3,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_RESERVE_ITEM4,65 ○予備項目4,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_RESERVE_ITEM5,66 ○予備項目5,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EAN_CODE,67 ○EANコード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CUST_PROD_NO,68 ○得意先商品番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_AL_PROD_CODE,69 ○アルインコ商品コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_AL_PROD_SPEC_1_CODE,70 ○アルインコ商品規格1コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_AL_PROD_SPEC_2_CODE,71 ○アルインコ商品規格2コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_CODE_TYPE,72 商品コード区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_NAME,73 ○商品名,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_KANA_NAME,74 商品名カナ,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_SPEC_NAME,75 商品規格,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_SPEC_KANA_NAME,76 商品規格カナ,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_COLOR_PATTERN,77 商品柄,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_COLOR_CODE,78 商品色コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_COLOR_KANA_NAME,79 商品色名カナ,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_SIZE_CODE,80 商品サイズコード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_SIZE_KANA_NAME,81 商品サイズ名カナ,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_INCLUDE_QT,82 入数,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,固定値を出力する,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PO_UNIT_QT,83 発注単位数,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,固定値を出力する,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PO_QT,84 ○数量,9: 0～9までの数字,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,固定値を出力する,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PO_UNIT_TYPE,85 発注単位区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PO_PACKING_CODE,86 発注荷姿コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_ITAX_COST_PRICE,87 ○原価単価（税込）,9: 0～9までの数字,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_ETAX_COST_PRICE,88 ○原価単価（税抜）,9: 0～9までの数字,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_ITAX_SELL_PRICE,89 ○売価単価（税込）,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_ETAX_SELL_PRICE,90 ○売価単価（税抜）,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_ITAX_COST_AMT,91 ○原価金額（税込）,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_ETAX_COST_AMT,92 ○原価金額（税抜）,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_ITAX_SELL_AMT,93 ○売価金額（税込）,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_ETAX_SELL_AMT,94 ○売価金額（税抜）,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CTAX_AMT,95 税額,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,固定値を出力する,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PO_WEIGHT,96 発注重量,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,固定値を出力する,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_TRANSACT_UNIT_WEIGHT,97 取引単位重量,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,固定値を出力する,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PRICE_TYPE,98 単価登録単位,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PROD_WEIGHT,99 商品重量,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,固定値を出力する,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SHIP_PLAN_DATE,100 ○出荷予定日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,空のままなにもしない,9998/12/31,全角⇒半角変換,大文字⇒小文字変換,はい
WK_WH_CODE,101 ○倉庫コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CASH_DELI_TYPE,102 ○代引区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,固定値を出力する,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CUST_NAME1,103 ○得意先名称1,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CUST_NAME2,104 ○得意先名称2,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CUST_KANA_NAME,105 得意先名称カナ,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CUST_PHONE,106 ○得意先電話番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CUST_ZIP,107 ○得意先郵便番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CUST_ADDRESS1,108 ○得意先住所1,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CUST_ADDRESS2,109 ○得意先住所2,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_BOOK_END_TYPE,110 ○帳端区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,固定値を出力する,0,全角⇒半角変換,大文字⇒小文字変換,はい
